titulos,companias
ASISTENTE LEGAL ADMINISTRATIVO EN INMIGRACION,INMIGRACION LEGAL
Encargado de recibo e inventarios - GIRO RETAIL,PETCO
Supervisor electoral para diferentes municipios Distrito 04,INE INEGI
AUXILIAR ADMINISTRATIVO,REFACCIONARIA HOME
Jefe de Vinculación Educativa,OFICENTER
Asesor de Ventas,AGENCIA AUTOMOTRIZ NISSAN
Líder de desarrollo empresarial,Corporativo Boryel S.A de C.V
Capturista,PROAGRO
Supervisor Operación Planta,Aranzazu
Coordinador de Asesores,Unimex Financiera
Asesor de Marca,Corporativo Boryel S.A de C.V
Supervisor de Mina,Arian Silver de México SA de CV
SUPERVISOR ELECTORAL,INSTITUTO NACIONAL ELECTORAL
Asistente de atención a clientes,Autotransportes de Carga Tresguerras
Agente de Ventas,ECODELI COMERCIAL S.A. DE C.V
202031 AUXILIAR ADMINISTRATIVO,ARCACONTINENTAL
"Comprador, Licenciatura en Contaduría o afines",TOYOTSU SMELTING TECHNOLOGY MEXICO
Jefe de Recursos Humanos,Integración Empresarial Labourdette
ASISTENTE DE OFICINA/VENTAS,TODO LIMPIO
SUPERVISOR REGIONAL TIENDAS ZONA ZACATECAS,Bumeran
Auxiliar Administrativo,TURZ S DE RL DE CV
Auxiliar de Ventas,SABRITAS S DE RL DE CV
Service Agent II,FedEx Express LAC
Auxiliar Administrativo,SUPER MAS
ALMACENISTA,Tecnicentro Royal SA de CV
ENCARGADO DE RECURSOS HUMANO,TOPO
OFICIAL DE SERVICIOS EN MINA/CERTIFICACIÓN DC3,CONCRETO LANZADO DE LOS MOCHIS S.A. DE C.V.
"AUXILIAR ADMINISTRATIVO, TSU O LICENCIATURA EN ADMINISTRACIÓ...",SUPERMAS
Encargada de compras,"TEJACRON, S.A. DE C.V."
COORDINADOR CENTRO OPERATIVO ZACATECAS,"SCM, S.A de C.V"
Courier ZCL MX203756,DHL Express
Capacitador Asistente electoral para diferentes municipios D...,INE INEGI
HOSTESS/RECEPCIONISTA,SERVICIOS EMPRESARIALES DE ALTA CALIDAD S.A DE C.V...
"ENCARGADA DE RECURSOS HUMANOS, licenciatura en Administració...",RODATECH AUTOMOTIVE
POLICIA DEL SERVICIO DE PROTECCIÓN FEDERAL PARA ZACATECAS,SERVICIO DE PROTECCIÓN FEDERAL
TECNICO ELECTRICO,Chiles y Semillas el Buen Tempora
MESERO,"GRUPO ACTIVA, SHANNONS, DON FACUNDO"
SUPERVISOR/A VENTA A DETALLE,LECHE SAN MARCOS
TÉCNICO CON DISPONIBILIDAD INMEDIATA EN FRESNILLO,SERVICE JK Y ASOCIADOS SA DE CV
AUXILIAR CONTABLE Y ADMINISTRATIVO,TOYOTA ZACATECAS
Talent manager,Corporativo Boryel S.A de C.V
Agente Comercial,Corporativo Boryel S.A de C.V
Recursos Humanos,KIA MOTORS México S.A DE C.V
SECRETARIA FACTURISTA,GRUPO CENTRO ALUMINIO S DE RL DE CV
"LÍDER DE PROYECTO EN SEGUROS, Licenciatura indistinta para F...",ELIZABETH MARTINEZ
Consejero/a de viajes vacacional Zacatecas,Agencia de Viajes con prestigio Internacional
Group Leader Compras Indirectas,Magna International Inc.
Asesor Industrial,Greenapsis
Cajero Operativo nocturno Temporada Navideña,Servicio Pan Americano de Proteccion
Supervisor de Seguridad,PI AUTOMATION SA DE CV
Responsable de Sucursal,SEALMARKET
"Editor, Licenciado en Letras,Filosofía, Periodismo,Ciencias...",PERIODICO IMAGEN
encargado de EHS (MCS27569),TOP en Español
"JEFE DE FRUTAS Y VERDURAS,PREPARATORIA O TÉCNICO SUPERIOR UN...",MERCADO SORIANA ADMINISTRACION SORIANA SA DE CV
CAPACITADOR,AGENCIA AUTOMOTRIZ NISSAN
Group Leader Ingeniería de Procesos,Magna International Inc.
AYUDANTE DE ENTREGADOR PARA GUADALUPE,EMBOTELLADORA AGA
Jefe de Desarrollo Organizacional,Mabe
Crecimiento y difusión,Corporativo Boryel S.A de C.V
VENDEDOR PREMIUM -ZACATECAS,Grupo Capistrano Alimentari
COMPRADOR,"MACEP, MALLAS Y ARMEX DE AGUASCALIENTES S.A. DE C...."
Vendedor Multifuncional,PETCO
Reclutamiento y Selección de Personal,WIZZ PLUS
Auxiliar Multifuncional,AGENCIA AUTOMOTRIZ NISSAN
Jefe de Recursos Humanos,ZAPATERIAS B HERMANOS
Auxiliar Multifuncional,Nissan Torres Corzo Zacatecas
Gerente de entrenamiento y expansión,Corporativo Boryel S.A de C.V
MKT talent,Corporativo Boryel S.A de C.V
